##	Base30	Cluster0	Cluster3	Cluster6
-	(0)(0)	11101010111000000	11111010101100000	11010101111100000
1	(0)(1)	11110101011110000	11111101010111000	11101010111111000
2	(0)(2)	11111010101111100	11110101001000000	10101001111000000
3	(0)(3)	11101010011100000	11111010100110000	11010100111110000
4	(0)(4)	11110101001111000	11111101010011100	11101010011111100
5	(0)(5)	11111010100111110	11110101000100000	10101000111100000
6	(0)(6)	11010100011000000	11111010100011000	11010100011111000
7	(0)(7)	11101010001110000	11111101010001110	11101010001111110
8	(0)(8)	11010100001100000	11110101000010000	10101000011110000
9	(0)(9)	10101000001000000	11111010100001100	11010100001111100
10	(0)(10)	11010100000110000	11110101000001000	10101000001111000
11	(0)(11)	10101000000100000	11111010100000110	11111101011010000
12	(0)(12)	11010110111000000	11110101000000100	10101101111100000
13	(0)(13)	11101011011110000	11110101101100000	11010110111111000
14	(0)(14)	11110101101111100	11111010110111000	11111101011001000
15	(0)(15)	11010110011100000	11111101011011110	10101100111110000
16	(0)(16)	11101011001111000	11101011001000000	11010110011111100
17	(0)(17)	11110101100111110	11110101100110000	11111101011000100
18	(0)(18)	10101100011000000	11111010110011100	10101100011111000
19	(0)(19)	11010110001110000	11101011000100000	11010110001111110
20	(0)(20)	10101100001100000	11110101100011000	11111101011000010
21	(0)(21)	10101110111000000	11111010110001110	10101100001111100
22	(0)(22)	11010111011110000	11101011000010000	11111010111010000
23	(0)(23)	11101011101111100	11110101100001100	11111101011101100
24	(0)(24)	10101110011100000	11101011000001000	10101110111111000
25	(0)(25)	11010111001111000	11110101100000110	11111010111001000
26	(0)(26)	11101011100111110	11101011000000100	11111101011100110
27	(0)(27)	10101110001110000	11101011101100000	10101110011111100
28	(0)(28)	11010111000111100	11110101110111000	11111010111000100
29	(0)(29)	10101111011110000	11111010111011110	10101110001111110
30	(1)(0)	11010111101111100	11010111001000000	11111010111000010
31	(1)(1)	10101111001111000	11101011100110000	11110101111010000
32	(1)(2)	11010111100111110	11110101110011100	11111010111101100
33	(1)(3)	10101111101111100	11010111000100000	11110101111001000
34	(1)(4)	11111010111111010	11101011100011000	11111010111100110
35	(1)(5)	11101001011100000	11110101110001110	11110101111000100
36	(1)(6)	11110100101111000	11010111000010000	11110101111000010
37	(1)(7)	11111010010111110	11101011100001100	11101011111010000
38	(1)(8)	11010010011000000	11010111000001000	11110101111101100
39	(1)(9)	11101001001110000	11101011100000110	11101011111001000
40	(1)(10)	11110100100111100	11010111000000100	11110101111100110
41	(1)(11)	11010010001100000	11010111101100000	11101011111000100
42	(1)(12)	11101001000111000	11101011110111000	11101011111000010
43	(1)(13)	10100100001000000	11110101111011110	11010111111010000
44	(1)(14)	11010010000110000	10101111001000000	11101011111101100
45	(1)(15)	11101001000011100	11010111100110000	11010111111001000
46	(1)(16)	10100100000100000	11101011110011100	11101011111100110
