##	Функция	Описание
900	Текстовый режим (TC)	
901	Байт-режим (BC)	
902	Числовой режим (NC)	
903: 912	Зарезервировано	Используются для пользовательских надстроек
913	Байт-режим	Только для следующего слова
914: 920	Зарезервировано	Используются для пользовательских надстроек
921	Инициализация	Слова далее будут интерпретированы
для инициализации или программирования сканера
922	PDF macro	Конец блока
923	PDF macro	Опциональное поле
924	Байт-режим	Если количество байтов кратно 6
925	ECI / GLI	Определяется пользователем
926	ECI / GLI	Общие наборы символов
927	ECI / GLI	Международные наборы символов
928	PDF macro	Начало блока
