##	Alpha Символ (ASCII)	Lower case Символ (ASCII)	Mixed Символ (ASCII)	Punctuation Символ (ASCII)
0	A (65)	a (97)	0 (48)	; (59)
1	B (66)	b (98)	1 (49)	< (60)
2	C (67)	c (99)	2 (50)	> (62)
3	D (68)	d (100)	3 (51)	@ (64)
4	E (69)	e (101)	4 (52)	[ (91)
5	F (70)	f (102)	5 (53)	\ (92)
6	G (71)	g (103)	6 (54)	] (93)
7	H (72)	h (104)	7 (55)	_ (95)
8	I (73)	i (105)	8 (56)	` (96)
9	J (74)	j (106)	9 (57)	~ (126)
10	K (75)	k (107)	& (38)	! (33)
11	L (76)	l (108)	CR (13)	CR (13)
12	M (77)	m (109)	HT (9)	HT (9)
13	N (78)	n (110)	, (44)	, (44)
14	O (79)	o (111)	: (58)	: (58)
15	P (80)	p (112)	# (35)	LF (10)
16	Q (81)	q (113)	— (45)	— (45)
17	R (82)	r (114)	. (46)	. (46)
18	S (83)	s (115)	$ (36)	$ (36)
19	T (84)	t (116)	/ (47)	/ (47)
20	U (85)	u (117)	+ (43)	&quot; (34)
21	V (86)	v (118)	% (37)	| (124)
22	W (87)	w (119)	* (42)	* (42)
23	X (88)	x (120)	= (61)	( (40)
24	Y (89)	y (121)	^ (94)	) (41)
25	Z (90)	z (122)	pl	? (63)
26	SP (32)	SP (32)	SP (32)	{ (123)
27	ll	as	ll	} (125)
28	ml	ml	al	' (39)
29	ps	ps	ps	al
