##	Кластер 0	Кластер 3	Кластер 6
0	31111136	51111125	21111155
1	41111144	61111133	31111163
2	51111152	41111216	11111246
3	31111235	51111224	21111254
4	41111243	61111232	31111262
5	51111251	41111315	11111345
6	21111326	51111323	21111353
7	31111334	61111331	31111361
8	21111425	41111414	11111444
9	11111516	51111422	21111452
10	21111524	41111513	11111543
11	11111615	51111521	61112114
12	21112136	41111612	11112155
13	31112144	41112125	21112163
14	41112152	51112133	61112213
15	21112235	61112141	11112254
16	31112243	31112216	21112262
17	41112251	41112224	61112312
18	11112326	51112232	11112353
19	21112334	31112315	21112361
20			
