## слоёв	Размер символа	Количество слов (размер слова, битов)	Количество битов	Можно записать цифр	Можно записать символов	Можно записать байт
1	19 x 19	21 (6)	126	18	15	8
2	23 x 23	48 (6)	288	49	40	24
3	27 x 27	60 (8)	480	84	68	40
4	31 x 31	88 (8)	704	128	104	62
5	37 x 37	120 (8)	960	178	144	87
6	41 x 41	156 (8)	1 248	232	187	114
7	45 x 45	196 (8)	1 568	294	236	145
8	49 x 49	240 (8)	1 920	362	291	179
9	53 x 53	230 (10)	2 300	433	348	214
10	57 x 57	272 (10)	2 720	516	414	256
11	61 x 61	316 (10)	3 160	601	482	298
12	67 x 67	364 (10)	3 640	691	554	343
13	71 x 71	416 (10)	4 160	793	636	394
14	75 x 75	470 (10)	4 700	896	718	446
15	79 x 79	528 (10)	528 0	1 008	808	502
16	83 x 83	588 (10)	588 0	1 123	900	559
17	87 x 87	652 (10)	6 520	1 246	998	621
18	91 x 91	720 (10)	7 200	1 378	1 104	687
19	95 x 95	790 (10)	7 900	1 511	1 210	753
20	101 x 101	864 (10)	8 640	1 653	1 324	824
21	105 x 105	940 (10)	9 400	1 801	1 442	898
22	109 x 109	1 020 (10)	10 200	1 956	1 566	976
23	113 x 113	920 (12)	11 040	2 116	1 694	1 056
24	117 x 117	992 (12)	11 904	2 281	1 826	1 138
25	121 x 121	1 066 (12)	12 792	2 452	1 963	1 224
26	125 x 125	1 144 (12)	13 728	2 632	2 107	1 314
27	131 x 131	1 224 (12)	14 688	2 818	2 256	1 407
28	135 x 135	1 306 (12)	15 672	3 007	2 407	1 501
29	139 x 139	1 392 (12)	16 704	3 205	2 565	1 600
30	143 x 143	1 480 (12)	17 760	3 409	2 728	1 702
31	147 x 147	1 570 (12)	18 840	3 616	2 894	1 806
32	151 x 151	1 664 (12)	19 968	3 832	3 067	1 914
